#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-17 09:53::46.091

Frequency (Hz),Trace 1 (dBu)
840.263671875,-91.997561044779701
845.14892578125,-90.937598477279394
850.0341796875,-85.554210562384853
854.91943359375,-85.625745952406135
859.8046875,-90.561530070594557
864.68994140625,-95.657607690112798
869.5751953125,-87.55916462847027
874.46044921875,-82.297184828899049
879.345703125,-91.511956745475359
884.23095703125,-98.282596943603409
889.1162109375,-91.33780782791915
894.00146484375,-97.272746400820324
898.88671875,-99.890394091928215
903.77197265625,-89.146451895057837
908.6572265625,-95.76620338970028
913.54248046875,-89.689198359674563
918.427734375,-88.966128762092112
923.31298828125,-90.577255209913758
928.1982421875,-85.142258966975476
933.08349609375,-90.014577967199585
937.96875,-84.553359470968147
942.85400390625,-87.003857274299037
947.7392578125,-91.975411903608588
952.62451171875,-85.733513128710001
957.509765625,-92.836020301898003
