#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-17 09:41::46.239

Frequency (Hz),Trace 1 (dBu)
552.03369140625,-73.258939229000561
556.9189453125,-72.801982540314583
561.80419921875,-73.286567136062445
566.689453125,-71.189001049481689
571.57470703125,-71.14391389018823
576.4599609375,-76.170101334363167
581.34521484375,-70.347287792188894
586.23046875,-75.301472655786384
591.11572265625,-75.568970713949113
596.0009765625,-75.623669482917933
600.88623046875,-74.845911539580968
605.771484375,-76.103267183133298
610.65673828125,-75.281574310736403
615.5419921875,-76.423050203492366
620.42724609375,-76.183715040024836
625.3125,-75.334188010188768
630.19775390625,-76.080768918716558
635.0830078125,-76.83450411644975
639.96826171875,-75.929776380855031
644.853515625,-74.931711306336993
649.73876953125,-71.441144356261958
654.6240234375,-85.303235204545729
659.50927734375,-76.804267554383998
664.39453125,-77.41103627263908
669.27978515625,-75.854787525864552
674.1650390625,-76.953974377771232
679.05029296875,-77.685958663594889
683.935546875,-78.73166765614728
688.82080078125,-77.520509819356292
693.7060546875,-76.819804942059932
698.59130859375,-80.379976423449207
703.4765625,-77.617220259330864
708.36181640625,-78.805510602234065
713.2470703125,-78.609470274867306
718.13232421875,-80.941183996336562
723.017578125,-77.898495530237199
727.90283203125,-78.845834978934349
732.7880859375,-77.761811421193414
737.67333984375,-73.547872433281626
742.55859375,-77.674095450533756
747.44384765625,-76.888708617506524
752.3291015625,-78.073486850297741
757.21435546875,-79.233647639473361
762.099609375,-78.077368580984114
766.98486328125,-77.7690393604083
771.8701171875,-76.273866121439582
776.75537109375,-81.470564842249971
781.640625,-77.919294115772431
786.52587890625,-77.026489141159843
791.4111328125,-80.676803938962564
796.29638671875,-80.630240230946185
801.181640625,-77.243890766326032
806.06689453125,-79.915504611411336
810.9521484375,-84.147477652275995
815.83740234375,-81.598605429314418
820.72265625,-78.465329957422952
825.60791015625,-77.725422207657545
830.4931640625,-79.896004846251813
835.37841796875,-78.140587367253801
840.263671875,-78.621696456188431
845.14892578125,-80.220547098379896
850.0341796875,-78.595362682484719
854.91943359375,-78.055237471479629
859.8046875,-80.804773164537963
864.68994140625,-80.021033326432786
869.5751953125,-79.705326848509117
874.46044921875,-81.169238405514903
879.345703125,-79.812994042976072
884.23095703125,-80.994626892795182
889.1162109375,-80.449024615169265
894.00146484375,-77.683345134100165
898.88671875,-82.348056849312542
903.77197265625,-81.416345743454102
908.6572265625,-81.07912981518794
913.54248046875,-79.344857129954178
918.427734375,-80.754315095390496
923.31298828125,-79.078117150863548
928.1982421875,-80.836042586030544
933.08349609375,-80.169095654411962
937.96875,-79.912450614147104
942.85400390625,-81.063709553014917
947.7392578125,-83.137531533700241
952.62451171875,-80.394303948692979
957.509765625,-79.755763670094467
